"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;ogółem;2011;[zł]";
0000000;"POLSKA";132690457519,69;
0200000;"DOLNOŚLĄSKIE";10542859160,17;
0201000;"Powiat bolesławiecki";274386049,18;
0201011;"Bolesławiec (1)";132299058,28;
0201022;"Bolesławiec (2)";32508120,80;
0201032;"Gromadka (2)";17829669,56;
0201043;"Nowogrodziec (3)";37631481,98;
0201052;"Osiecznica (2)";30743405,37;
0201062;"Warta Bolesławiecka (2)";23374313,19;
0202000;"Powiat dzierżoniowski";270779162,48;
0202011;"Bielawa (1)";89908415,77;
0202021;"Dzierżoniów (1)";87495884,45;
0202031;"Pieszyce (1)";19421783,65;
0202041;"Piława Górna (1)";16841571,92;
0202052;"Dzierżoniów (2)";23616847,97;
0202062;"Łagiewniki (2)";18620277,60;
0202073;"Niemcza (3)";14874381,12;
0203000;"Powiat głogowski";294300496,71;
0203011;"Głogów (1)";210803796,32;
0203022;"Głogów (2)";16897524,66;
0203032;"Jerzmanowa (2)";24344028,16;
0203042;"Kotla (2)";15507644,49;
0203052;"Pęcław (2)";11848276,35;
0203062;"Żukowice (2)";14899226,73;
0204000;"Powiat górowski";107844780,63;
0204013;"Góra (3)";60194016,10;
0204022;"Jemielno (2)";10699903,90;
0204032;"Niechlów (2)";13988727,78;
0204043;"Wąsosz (3)";22962132,85;
0205000;"Powiat jaworski";147291773,56;
0205011;"Jawor (1)";61422383,39;
0205023;"Bolków (3)";32947198,78;
0205032;"Męcinka (2)";17832785,01;
0205042;"Mściwojów (2)";13418330,57;
0205052;"Paszowice (2)";10884220,23;
0205062;"Wądroże Wielkie (2)";10786855,58;
0206000;"Powiat jeleniogórski";211614083,23;
0206011;"Karpacz (1)";27476875,32;
0206021;"Kowary (1)";26341931,26;
0206031;"Piechowice (1)";15971532,07;
0206041;"Szklarska Poręba (1)";27662488,53;
0206052;"Janowice Wielkie (2)";14466315,40;
0206062;"Jeżów Sudecki (2)";16371226,17;
0206072;"Mysłakowice (2)";31002866,60;
0206082;"Podgórzyn (2)";22297369,33;
0206092;"Stara Kamienica (2)";30023478,55;
0207000;"Powiat kamiennogórski";130462508,50;
0207011;"Kamienna Góra (1)";52630312,51;
0207022;"Kamienna Góra (2)";25497961,02;
0207033;"Lubawka (3)";30234931,00;
0207042;"Marciszów (2)";22099303,97;
0208000;"Powiat kłodzki";493659178,59;
0208011;"Duszniki-Zdrój (1)";20098189,31;
0208021;"Kłodzko (1)";84296247,48;
0208031;"Kudowa-Zdrój (1)";30662015,64;
0208041;"Nowa Ruda (1)";59123856,08;
0208051;"Polanica-Zdrój (1)";24923102,49;
0208063;"Bystrzyca Kłodzka (3)";56989415,62;
0208072;"Kłodzko (2)";47015549,22;
0208083;"Lądek-Zdrój (3)";24576164,47;
0208092;"Lewin Kłodzki (2)";8012032,87;
0208103;"Międzylesie (3)";21031111,53;
0208112;"Nowa Ruda (2)";34290742,90;
0208123;"Radków (3)";32127240,01;
0208133;"Stronie Śląskie (3)";31382433,80;
0208143;"Szczytna (3)";19131077,17;
0209000;"Powiat legnicki";149100798,47;
0209011;"Chojnów (1)";35524984,87;
0209022;"Chojnów (2)";22522856,13;
0209032;"Krotoszyce (2)";10602593,60;
0209042;"Kunice (2)";17104513,69;
0209052;"Legnickie Pole (2)";16823160,40;
0209062;"Miłkowice (2)";16698149,50;
0209073;"Prochowice (3)";20976346,78;
0209082;"Ruja (2)";8848193,50;
0210000;"Powiat lubański";174214928,73;
0210011;"Lubań (1)";58520591,33;
0210021;"Świeradów-Zdrój (1)";23905889,34;
0210033;"Leśna (3)";30952833,57;
