"Kod";"Nazwa";"gminy łącznie z miastami na prawach powiatu;ogółem;2011;[zł]";
0000000;"POLSKA";3444,21;
0200000;"DOLNOŚLĄSKIE";3615,76;
0201000;"Powiat bolesławiecki";3031,79;
0201011;"Bolesławiec (1)";3291,10;
0201022;"Bolesławiec (2)";2389,07;
0201032;"Gromadka (2)";3226,51;
0201043;"Nowogrodziec (3)";2471,20;
0201052;"Osiecznica (2)";4044,65;
0201062;"Warta Bolesławiecka (2)";2802,00;
0202000;"Powiat dzierżoniowski";2555,24;
0202011;"Bielawa (1)";2839,54;
0202021;"Dzierżoniów (1)";2506,90;
0202031;"Pieszyce (1)";1999,57;
0202041;"Piława Górna (1)";2475,61;
0202052;"Dzierżoniów (2)";2507,10;
0202062;"Łagiewniki (2)";2454,88;
0202073;"Niemcza (3)";2527,94;
0203000;"Powiat głogowski";3259,18;
0203011;"Głogów (1)";3033,24;
0203022;"Głogów (2)";2695,41;
0203032;"Jerzmanowa (2)";5768,73;
0203042;"Kotla (2)";3578,14;
0203052;"Pęcław (2)";5014,08;
0203062;"Żukowice (2)";4121,50;
0204000;"Powiat górowski";2928,97;
0204013;"Góra (3)";2874,18;
0204022;"Jemielno (2)";3361,58;
0204032;"Niechlów (2)";2703,14;
0204043;"Wąsosz (3)";3053,88;
0205000;"Powiat jaworski";2796,34;
0205011;"Jawor (1)";2527,25;
0205023;"Bolków (3)";2955,70;
0205032;"Męcinka (2)";3606,23;
0205042;"Mściwojów (2)";3188,77;
0205052;"Paszowice (2)";2736,79;
0205062;"Wądroże Wielkie (2)";2636,08;
0206000;"Powiat jeleniogórski";3251,00;
0206011;"Karpacz (1)";5476,75;
0206021;"Kowary (1)";2237,30;
0206031;"Piechowice (1)";2435,80;
0206041;"Szklarska Poręba (1)";3953,48;
0206052;"Janowice Wielkie (2)";3383,93;
0206062;"Jeżów Sudecki (2)";2412,14;
0206072;"Mysłakowice (2)";3045,47;
0206082;"Podgórzyn (2)";2745,64;
0206092;"Stara Kamienica (2)";5576,43;
0207000;"Powiat kamiennogórski";2842,38;
0207011;"Kamienna Góra (1)";2547,33;
0207022;"Kamienna Góra (2)";2853,40;
0207033;"Lubawka (3)";2608,26;
0207042;"Marciszów (2)";4692,00;
0208000;"Powiat kłodzki";2951,64;
0208011;"Duszniki-Zdrój (1)";3995,66;
0208021;"Kłodzko (1)";2939,71;
0208031;"Kudowa-Zdrój (1)";2942,33;
0208041;"Nowa Ruda (1)";2478,16;
0208051;"Polanica-Zdrój (1)";3674,89;
